Script Start,Script Stop,Alive Time
2023-04-11 11:28:24.704451+01:00,2023-04-11 11:28:36.987955+01:00,0:00:00:12
2023-04-11 11:32:59.911132+01:00,2023-04-11 11:33:20.310408+01:00,0:00:00:20
2023-04-11 11:38:32.839253+01:00,2023-04-11 11:39:05.176933+01:00,0:00:00:32
2023-04-12 10:59:11.614306+01:00,2023-04-12 10:59:12.277222+01:00,0:00:00:00
2023-04-12 11:16:21.795204+01:00,2023-04-12 11:17:30.301622+01:00,0:00:01:08
2023-04-12 11:23:14.840121+01:00,2023-04-12 11:25:24.334955+01:00,0:00:02:09
2023-04-12 11:28:04.788076+01:00,2023-04-12 11:28:05.718589+01:00,0:00:00:00
2023-04-12 11:33:51.025542+01:00,2023-04-12 11:33:51.872080+01:00,0:00:00:00
2023-04-28 09:55:52.589823+01:00,2023-04-28 09:55:53.448089+01:00,0:00:00:00
2023-05-04 12:43:31.312723+01:00,2023-05-04 12:43:32.107934+01:00,0:00:00:00
